MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
1,5,4,1,3,2,3,3,3,3,3,1,1,3,3,1,0,4,1,5,3,1,0,731.1888
3,6,3,4,4,4,3,3,3,1,1,1,3,3,4,1,1,1,1,2,9,4,0,7014.6348
3,6,4,3,4,4,3,3,3,3,3,3,3,3,7,2,0,3,2,2,9,4,0,5421.3356
2,5,4,1,4,4,3,3,3,1,3,3,1,3,3,1,1,3,1,6,1,1,0,6097.4668
2,4,3,1,4,2,3,3,3,2,1,1,1,3,3,1,0,4,1,2,3,1,0,2236.67
2,6,3,1,1,3,1,3,1,1,1,3,3,3,5,2,0,3,4,2,9,4,1,2255.2651
3,6,3,1,4,4,3,3,3,1,1,1,3,3,6,2,0,1,1,4,9,4,0,5198.4341
3,6,4,4,4,4,2,3,3,3,1,1,3,3,7,1,0,1,1,2,9,4,0,1132.0394
2,6,3,1,1,4,3,3,3,3,1,1,1,3,1,2,0,4,2,4,9,4,0,1546.9849
2,4,2,1,4,4,3,3,3,1,3,1,1,3,1,1,1,1,1,2,3,1,0,54269.1743
3,6,2,1,4,4,1,3,3,1,1,3,3,3,4,2,0,4,1,4,9,4,0,909.2836
3,5,4,3,4,4,3,3,3,3,3,3,3,3,4,1,0,1,1,6,3,1,0,801.4047
2,4,1,4,4,4,1,3,3,1,1,1,1,3,4,1,0,1,1,2,4,3,0,6816.1051
4,5,3,3,4,3,3,2,3,2,3,1,3,3,5,1,0,1,1,4,3,1,0,1756.3721
2,5,4,3,4,3,3,3,3,1,1,1,3,3,5,2,0,1,1,6,3,1,0,1253.359
5,6,4,1,4,1,3,3,9,1,1,1,3,3,4,2,1,4,2,2,9,4,0,2623.0449
1,6,4,1,4,9,3,3,3,3,1,1,3,3,6,2,0,1,1,2,9,4,0,5605.0768
2,6,4,1,4,4,3,9,9,3,1,1,9,9,7,2,0,3,4,4,9,4,0,1155.9174
3,4,1,3,4,4,3,3,3,1,3,3,3,3,4,1,0,1,1,1,3,1,0,87381.2174
1,5,5,3,3,4,3,3,3,3,3,1,3,3,5,2,0,3,1,7,2,1,0,1419.2669
2,6,4,1,4,2,2,3,3,2,3,3,3,3,5,1,0,1,1,7,9,4,0,4668.9373
3,5,4,1,4,4,3,3,3,1,1,1,3,3,2,2,0,1,1,7,2,1,0,3213.2282
3,6,2,1,4,4,1,3,3,1,1,1,1,1,4,2,0,1,1,6,9,4,0,17475.8956
3,3,3,1,4,4,3,3,3,3,3,3,3,3,4,1,0,3,1,4,3,1,1,792.6116
4,3,3,1,4,4,3,3,3,1,3,1,3,3,2,2,0,1,4,5,1,1,0,19572.8786
4,3,4,4,4,4,2,3,3,3,3,3,3,3,2,1,0,4,2,6,3,1,0,509.427
4,5,4,1,4,2,3,3,3,1,1,1,3,3,2,2,0,4,4,4,3,1,0,5605.9923
5,6,3,4,4,1,3,3,3,1,3,1,3,3,5,1,0,4,2,4,9,4,3,662.53
3,6,4,1,4,3,3,3,3,2,2,1,3,3,6,2,0,3,4,7,9,4,0,850.9752
3,4,4,1,4,4,1,3,3,1,1,1,3,3,2,2,0,2,3,7,3,1,0,3501.6362
